
SPIP-Core spip-3.2.0 -> spip-3.2.1  14 mars 2018
-------------------------------------------------------------

r23781 | erational |  (mer. 18 oct. 2017) | report de r23780 passer la requête http://query.yahooapis.com en https://
r107342 | maieul    |  (sam. 04 nov. 2017) | Afficher les documents les plus récents en haut dans la colonne des documents liés à un objet.Cela permet de ne pas scroller tout en bas pour trouver le document qu'on vient d'ajouter.Notes:  - J'espère avoir commité aux bon en endroits (entre les branches et le trunk, je suis perdu). En tout cas, je commit pas sur la v3.0 car n'est plus maintenu que pour raison de sécurité. - On se base sur l'idée document et pas sur la date associée au document, pour éviter une jointure peut utile dans le cas présent.fix #4039
r107345 | maieul    |  (sam. 04 nov. 2017) | dans un premier tps, r107342 n'aurait du être que sur le trunk
r107867 | erational |  (mar. 05 déc. 2017) | Ajout d'un critère facultatif annee qui permet de limiter les articles d'une année donnée et contourner la limitation des 2000 items du sitemap.xml généralL'appel par année se fait: monsite.org/sitemap.xml?annee=1981
r108116 | chankalan |  (mar. 19 déc. 2017) | un seul lien par objet pour les objets liés à chaque document, voir évolution #4065 + z
r108119 | b_b       |  (mar. 19 déc. 2017) | report de r108118retour sur r108117 cf https://core.spip.net/issues/4065#note-3
r108185 | b_b       |  (lun. 25 déc. 2017) | report de r108184Fix #3427 : afficher les poids total des documents listés par la médiathèque
r108187 | b_b       |  (lun. 25 déc. 2017) | report de r108186indentation
r108189 | b_b       |  (lun. 25 déc. 2017) | report de r108188indentation
r108306 | cedric    |  (mer. 03 janv. 2018) | Report de r108305 : Mise a jour de MediaElement.js en version 4.2.7 qui corrige le bug d'affichage du temps + procure mejs avec la bonne version - on inclue egalement les fichiers package.js et json de mejs pour avoir dans le dossier lib les informations de version
r108317 | cedric    |  (mer. 03 janv. 2018) | Retablir l'initialisation JS de mediaelement.js via le script mejs-init.js qui prend en charge les attributs data- et ajoute les class paused/playing selon l'etat du player. Retrait de la class mejs__player qui avait ete ajoutee pour declencher l'init automatique au lieu de reparer le script mejs-init.js
r108321 | cedric    |  (mer. 03 janv. 2018) | Suite de r108317 : pas de mejs__player sur video non plus, et aussi on evite que le script mejs-init de doublle initialise un audio ou un video avec cette classe
r108328 | cedric    |  (mer. 03 janv. 2018) | Renseigner la duree du son ou de la video si on a l'info en base (en general oui avec ID3)
r108363 | b_b       |  (jeu. 04 janv. 2018) | report de r108362Fix #3392 : ajouter un title sur les liens editer des listes d'objets
r108519 | cedric    |  (lun. 15 janv. 2018) | Report de r108517 : Eviter un fatal memory si jamais un tampon est ouvert
r108607 | b_b       |  (mer. 24 janv. 2018) | report de r108606lisiblité des forums privé pas de font-size à 11px
r108693 | cedric    |  (mar. 30 janv. 2018) | Report de r108692 : le titrage des documents a partir du nom de fichier est un peu restritif, on donne la possibilite de definir sa regle via une fonction inc_titrer_document_dist surchargeable
r108734 | cedric    |  (ven. 02 févr. 2018) | mise a jour du test unitaire suite au changement de serveur math : la taille de l'image test change de 1px
r108782 | b_b       |  (sam. 03 févr. 2018) | report de r108781
r108786 | jluc      |  (sam. 03 févr. 2018) | suite fix couleur_saturation dans le cas où couleur est FFFFFF ou #ffffff
r108842 | b_b       |  (mer. 07 févr. 2018) | report de r108841Fix #4088 : fix autorisation moderation forum pour un objet spécifique
r109113 | rasta     |  (sam. 24 févr. 2018) | Backport de [109112] : Correction cohérence : le pipeline affiche_enfants est depuis des années appelé sur TOUS les objets par l'échafaudage. Donc les objets du noyau qui surchargent l'échafaudage doivent l'appeler aussi.
r109376 | booz      |  (jeu. 08 mars 2018) | report de https://zone.spip.org/trac/spip-zone/changeset/109375 
r109454 | booz      |  (lun. 12 mars 2018) | z+1 (franck)
